wl,n
0.114114,0.9542948024342
0.115436,0.9557810905278
0.116772,0.9584285750096
0.118124,0.9622293381114
0.119492,0.9671898903006
0.120876,0.9733298803864
0.122276,0.9806813269954
0.123692,0.9892881410759
0.125124,0.9992057775896
0.126573,1.010500882115
0.128038,1.023250801429
0.129521,1.037542814127
0.131021,1.053472912153
0.132538,1.071143929833
0.134073,1.090662777369
0.135625,1.112136496907
0.137196,1.135666831481
0.138784,1.161342996913
0.140391,1.189232398416
0.142017,1.219369169787
0.143661,1.251740671415
0.145325,1.286272497471
0.147008,1.322813124147
0.14871,1.361120040285
0.150432,1.400849917482
0.152174,1.441555873352
0.153936,1.482694850312
0.155718,1.523647269801
0.157522,1.563749291096
0.159346,1.602335413501
0.161191,1.638786442579
0.163057,1.672575909521
0.164945,1.703307709274
0.166855,1.730739303549
0.168787,1.754787873054
0.170742,1.775520288852
0.172719,1.79313060895
0.174719,1.807910289512
0.176742,1.820216329349
0.178789,1.830441527688
0.180859,1.838989512773
0.182953,1.846255706071
0.185072,1.852614231165
0.187215,1.8584100548
0.189383,1.863955314439
0.191575,1.869528733013
0.193794,1.875377132596
0.196038,1.881718243204
0.198308,1.888744200652
0.200604,1.896625305382
0.202927,1.905513758719
0.205277,1.915547201799
0.207654,1.926851959349
0.210058,1.939545941236
0.212491,1.953741185383
0.214951,1.969546041306
0.21744,1.987066998161
0.219958,2.006410157622
0.222505,2.027682341821
0.225082,2.050991811082
0.227688,2.076448545397
0.230324,2.104164017604
0.232991,2.134250354459
0.235689,2.166818744141
0.238418,2.201976905018
0.241179,2.239825381942
0.243972,2.280452385685
0.246797,2.323926844353
0.249655,2.370289303598
0.252546,2.419540313277
0.25547,2.471625999596
0.258428,2.526420683387
0.261421,2.583706718019
0.264448,2.643152241398
0.26751,2.704288312949
0.270608,2.766487945162
0.273741,2.828950758761
0.276911,2.890698161748
0.280117,2.950584655638
0.283361,3.007330517937
0.286642,3.059579091371
0.289961,3.10597791503
0.293319,3.145277342197
0.296715,3.176434435723
0.300151,3.198705895172
0.303627,3.211713576078
0.307142,3.21547066176
0.310699,3.210364687939
0.314297,3.197102723438
0.317936,3.176631036026
0.321618,3.150044563633
0.325342,3.118500318045
0.329109,3.083144815099
0.33292,3.045060652604
0.336775,3.005233016901
0.340675,2.964534021903
0.34462,2.923721527988
0.34861,2.88344929058
0.352647,2.844287045313
0.35673,2.806754592593
0.360861,2.771410275016
0.36504,2.738975399135
0.369266,2.709596655865
0.373542,2.683018449161
0.377868,2.658912138541
0.382243,2.636957903175
0.386669,2.616870113155
0.391147,2.598402893232
0.395676,2.581348144632
0.400258,2.565530964547
0.404893,2.550804548226
0.409581,2.537045423749
0.414324,2.524149315268
0.419121,2.51202768421
0.423975,2.500604895558
0.428884,2.489815921317
0.43385,2.479604488812
0.438874,2.469921589705
0.443956,2.460724278079
0.449097,2.451974698757
0.454297,2.443639298508
0.459558,2.435688182567
0.464879,2.428094586783
0.470262,2.420834442117
